name,campus,building,floor,zone,category,description,hours
MT CARE사무실,성의교정,병원별관,B2,병원,외부,엠티케어,
PI팀,성의교정,병원별관,2,병원,행정,,
가정간호센터,성의교정,병원별관,2,병원,의료,,
간호기숙사,성의교정,병원별관,3,병원,시설,올리브관,
간호행정교육팀,성의교정,병원별관,2,병원,행정,간호부,
감염관리팀,성의교정,병원별관,2,병원,행정,,
강의실205,성의교정,병원별관,2,학교,교육,,
교수연구실,성의교정,병원별관,5,병원,연구,,
교수연구실(6F),성의교정,병원별관,6,병원,연구,,
교수연구실(7F),성의교정,병원별관,7,병원,연구,,
교수연구실(8F),성의교정,병원별관,8,병원,연구,,
국제협력팀,성의교정,병원별관,1,병원,행정,,
금호건설사무실,성의교정,병원별관,B2,병원,외부,,
기자실,성의교정,병원별관,1,병원,시설,,
기획조정실장실,성의교정,병원별관,3,병원,행정,,내원객 안내 금지
나프로임신센터,성의교정,병원별관,1,병원,의료,,
노사협력팀,성의교정,병원별관,3,병원,행정,,
대건사무실,성의교정,병원별관,B2,병원,외부,,
대인자동차사무실,성의교정,병원별관,B2,병원,외부,,
대학원강의실1201,성의교정,병원별관,1,학교,교육,,
대학원강의실1202,성의교정,병원별관,1,학교,교육,,
대학원강의실1203,성의교정,병원별관,1,학교,교육,,
대학원강의실1204,성의교정,병원별관,1,학교,교육,,
대학원강의실1205,성의교정,병원별관,1,학교,교육,,
대학원강의실1206,성의교정,병원별관,1,학교,교육,,
데이터중심병원사무국,성의교정,병원별관,2,병원,행정,총괄,
데이터중심병원지원본부,성의교정,병원별관,B2,병원,행정,,
동아리방,성의교정,병원별관,B1,병원,편의,,
동아리방,성의교정,병원별관,1,병원,편의,,
디지털병리A1연구소,성의교정,병원별관,B2,병원,연구,,
라온시뮬레이션센터,성의교정,병원별관,1,병원,교육,,
메디컬엑설런스,성의교정,병원별관,4,병원,교육,,
면역질환연구소,성의교정,병원별관,8,병원,연구,구 연구소,
모니터링실,성의교정,병원별관,9,병원,연구,,
바이오코어센터,성의교정,병원별관,7,병원,연구,퍼실리티,
발전기금팀,성의교정,병원별관,1,병원,행정,,
방사선종양학과,성의교정,병원별관,B1,병원,의료,,
베올리아산업개발,성의교정,병원별관,B2,병원,외부,,
병원경영실장실,성의교정,병원별관,3,병원,행정,,내원객 안내 금지
병원홍보팀,성의교정,병원별관,1,병원,행정,,
사무차장실,성의교정,병원별관,3,병원,행정,,내원객 안내 금지
사이버나이프센터,성의교정,병원별관,B1,병원,치료,,
사제관,성의교정,병원별관,3,병원,시설,비안네관,
설비Unit,성의교정,병원별관,B2,병원,시설,,
성의교정행정사무실,성의교정,병원별관,1,병원,행정,총무/재무/구매/교학/교무,
성의기획팀,성의교정,병원별관,1,병원,행정,,
세포사멸질환연구센터,성의교정,병원별관,2,병원,연구,,
수납,성의교정,병원별관,1,병원,행정,,
수녀원,성의교정,병원별관,3,병원,시설,,
수련교육팀,성의교정,병원별관,1,병원,행정,,
수련교육팀,성의교정,병원별관,4,병원,행정,,
스마트헬스케어,성의교정,병원별관,2,병원,연구,,
안전상황실,성의교정,병원별관,1,병원,시설,,
알레르기치료실,성의교정,병원별관,2,병원,치료,,
암연구소,성의교정,병원별관,10,병원,연구,,
암진화연구센터,성의교정,병원별관,2,병원,연구,,
어린이집,성의교정,병원별관,2,병원,편의,,
연구관리Unit,성의교정,병원별관,9,병원,행정,,
연구윤리사무국,성의교정,병원별관,9,병원,행정,,
연구행정팀,성의교정,병원별관,2,병원,행정,,
영성구현실장실,성의교정,병원별관,3,병원,행정,,내원객 안내 금지
온열치료실,성의교정,병원별관,B1,병원,치료,방사선종양학과,
옴니휘트니스센터,성의교정,병원별관,1,병원,편의,헬스장,
완화의학과,성의교정,병원별관,2,병원,의료,,
외과중앙연구소,성의교정,병원별관,1,병원,연구,,
요나센터,성의교정,병원별관,1,병원,교육,간호실습실,
우체국,성의교정,병원별관,1,병원,편의,우체통 포함,
의료원원목팀,성의교정,병원별관,1,병원,행정,,
의료원장실,성의교정,병원별관,3,병원,행정,보직자실,내원객 안내 금지
의료원홍보팀,성의교정,병원별관,1,병원,행정,,
의료윤리사무국,성의교정,병원별관,2,병원,행정,,
의용공학실,성의교정,병원별관,2,병원,연구,,
의학통계지원실,성의교정,병원별관,9,병원,연구,,
인체유래물은행,성의교정,병원별관,B1,병원,연구,,
임상시험센터,성의교정,병원별관,10,병원,병동,,
임상시험약국,성의교정,병원별관,9,병원,의료,,
임상심리검사실,성의교정,병원별관,5,병원,검사,,
임상연구실(류마티스내과),성의교정,병원별관,B2,병원,연구,,
임상연구실(산부인과),성의교정,병원별관,B2,병원,연구,,
임상연구실(순환기내과),성의교정,병원별관,B2,병원,연구,,
임상연구실(신경외과),성의교정,병원별관,B2,병원,연구,,
임상연구실(정신과),성의교정,병원별관,B2,병원,연구,,
임상의과학연구사업단,성의교정,병원별관,B1,병원,연구,유전체 연구역량강화,
자원봉사센터,성의교정,병원별관,2,병원,편의,,
적정진료관리팀,성의교정,병원별관,2,병원,행정,보험심사팀,
전공의숙소,성의교정,병원별관,4,병원,시설,,
전기Unit,성의교정,병원별관,B2,병원,시설,,
정맥Unit,성의교정,병원별관,B1,병원,시설,,
정보운영팀,성의교정,병원별관,B2,병원,행정,,
정보전략팀,성의교정,병원별관,2,병원,행정,,
정보지원팀,성의교정,병원별관,2,병원,행정,,
정신과정서연구실,성의교정,병원별관,B1,병원,연구,,
정신의학과병동,성의교정,병원별관,5,병원,병동,,
중앙구매운영팀,성의교정,병원별관,2,병원,행정,,
중앙의료원행정사무실,성의교정,병원별관,3,병원,행정,인사/재무/기획/교육,
직업환경의학과,성의교정,병원별관,2,병원,의료,,
직업환경의학센터,성의교정,병원별관,B1,병원,의료,,
초음파실,성의교정,병원별관,2,병원,검사,,
콜센터,성의교정,병원별관,1,병원,행정,평화아름,
통합검사실,성의교정,병원별관,1,병원,검사,CT/MRI/일반촬영,
평생교육원,성의교정,병원별관,2,학교,교육,,
해외연수생실,성의교정,병원별관,B2,병원,교육,,
호스피스병동,성의교정,병원별관,6,병원,병동,,
회의실1005,성의교정,병원별관,1,병원,공용,,
