name,campus,building,floor,room,category
온코인사이트,성의교정,옴니버스파크B,6,,기업
회의실,성의교정,옴니버스파크B,6,,공용

온코인사이트,성의교정,옴니버스파크B,5,,기업
파마리서치,성의교정,옴니버스파크B,5,,기업

한미약품제재연구소,성의교정,옴니버스파크B,4,,연구소

디지털팜,성의교정,옴니버스파크B,3,,기업
진코어,성의교정,옴니버스파크B,3,,기업

서지넥스,성의교정,옴니버스파크B,2,,기업
name,campus,building,floor,room,category
주한교황청대사관,성의교정,옴니버스파크C,6,,시설
의료원대회의실,성의교정,옴니버스파크C,6,,공용

교수실,성의교정,옴니버스파크C,5,,사무
세미나실,성의교정,옴니버스파크C,5,,공용
복사실,성의교정,옴니버스파크C,5,,지원
자료실,성의교정,옴니버스파크C,5,,지원

간호대학장실,성의교정,옴니버스파크C,4,,사무
간호대행정팀,성의교정,옴니버스파크C,4,,사무
동창회장실,성의교정,옴니버스파크C,4,,사무
대강의실,성의교정,옴니버스파크C,4,,강의실
대회의실,성의교정,옴니버스파크C,4,,공용
조교실,성의교정,옴니버스파크C,4,,사무

대강의실,성의교정,옴니버스파크C,3,,강의실
중강의실,성의교정,옴니버스파크C,3,,강의실
PBL실,성의교정,옴니버스파크C,3,,강의실
호스피스연구소,성의교정,옴니버스파크C,3,,연구소

대강의실,성의교정,옴니버스파크C,2,,강의실
중강의실,성의교정,옴니버스파크C,2,,강의실
PBL실,성의교정,옴니버스파크C,2,,강의실
휴게실,성의교정,옴니버스파크C,2,,편의
게스트하우스,성의교정,옴니버스파크B,8,,시설
게스트하우스,성의교정,옴니버스파크C,8,,시설
산학협력단장실,성의교정,옴니버스파크B,7,,사무
의생명산업연구원장실,성의교정,옴니버스파크B,7,,사무
연구감사실,성의교정,옴니버스파크B,7,,사무

산학협력팀,성의교정,옴니버스파크B,7,,사무
경영관리팀,성의교정,옴니버스파크B,7,,사무
연구기획팀,성의교정,옴니버스파크B,7,,사무
연구관리팀,성의교정,옴니버스파크B,7,,사무
구매관재팀,성의교정,옴니버스파크B,7,,사무

창업보육센터,성의교정,옴니버스파크B,7,,시설
기술지주,성의교정,옴니버스파크B,7,,기업
스카이가든,성의교정,옴니버스파크B,7,,공용
